Biomass,d0(%),d1(%),d2(%),d3(%),d4(%),d5(%),d6(%),d7(%),d8(%),d9(%),p10,p100,p30,p40,p50,p60,p70,p80,p90,stdev,mean
12.3566,8.1987903,9.2324696,7.3306002,9.00736,13.7277007,14.745,16.0898,14.7718996,6.8719901,0.0244844,4.58468008,23.6644001,9.211230278,12.04930019,13.97270012,15.50389957,16.78319931,18.09679985,19.6590004,5.656139851,12.91329956
12.2161,5.7614401,5.3050499,3.7154902,9.0669103,19.0109998,20.7304999,20.0405002,12.3531997,3.9962701,0.0196563,7.613580227,28.67480087,14.57429981,16.23200035,17.69499969,19.06690025,20.66040039,22.07150078,23.84070015,6.039309978,16.88870049
17.4936,3.62239,2.2281099,4.6820499,9.7533703,22.2472996,29.2369992,13.3211002,10.6096998,4.26904,0.0298792,11.02190018,31.67449951,16.79380035,18.18779945,19.3416996,20.75230026,21.97489929,23.26110077,24.95590019,5.697899818,18.74790001
16.5764,2.27345,0.627018,0.822914,2.2145201,7.6604597,21.8456998,36.6905004,23.2659996,4.5742299,0.0251861,12.42640018,25.30970001,16.75830078,17.78450012,18.55920029,19.36260033,20.23649979,21.02000046,21.87919998,3.724299908,17.88680077
17.7037,0,0,0.208468,0.958235,10.3353001,29.5226991,38.866201,16.0621002,4.1109599,0.0243126,16.33600044,28.60129929,18.67709923,19.49469948,20.15500069,20.78689957,21.83939934,22.81599998,24.12540054,3.196340084,20.14649963
22.8691,0.190478,0.195974,1.11343,2.4679299,5.6486201,14.3958002,35.7069999,33.5099995,6.7456096,0.0251887,17.7276001,30.74860001,21.63139915,22.53470039,23.48940086,24.38759995,25.13969994,25.92580032,27.17490005,3.913630009,22.83799934
16.1289,0.567737,2.5099801,3.27967,9.7590297,21.7167005,25.7198006,17.0114994,11.3499999,8.0427997,0.0428776,13.64290047,31.8227005,17.84049988,19.55579948,20.67410088,21.63739967,22.77759933,24.17230034,25.8390007,4.93366003,20.11809921
10.5341,9.7626403,24.6970996,26.9800007,7.6721899,7.3751204,7.3251203,9.0592302,4.7336102,2.3574799,0.0374993,3.682879925,22.33679962,6.111480236,7.204400063,8.472109795,9.250599861,9.965189934,11.13140011,15.71030045,4.558790207,8.720569611
11.8865,10.9958,7.9381302,10.8608,14.9289995,13.4679005,13.6019006,13.9706999,10.7298002,3.4705199,0.035415,5.078670025,26.45569992,10.04389954,11.94400024,13.96759987,15.39760017,16.79490089,18.73220062,20.94389915,5.87293005,13.41079998
11.0693,7.7623002,9.17731,3.3575598,5.65756,10.8566001,22.5590006,25.3944993,10.5994999,4.6095699,0.0261513,5.228050232,26.16010094,12.86260033,15.20590019,16.88529968,17.85199928,18.71199989,19.94470024,21.3852005,5.848949909,15.11909962
16.8359,3.4227401,5.2060001,6.4605698,6.8222798,15.9351006,31.2804997,18.6983004,8.3371997,3.8142499,0.0230487,8.071570396,27.14159966,14.1782999,15.8355999,16.81270027,17.72839928,18.59029961,19.9822998,22.33419991,5.2572999,15.9698
17.7744,2.27345,0.627018,0.822914,2.2145201,7.6604597,21.8456998,36.6905004,23.2659996,4.5742299,0.0251861,12.42640018,25.30970001,16.75830078,17.78450012,18.55920029,19.36260033,20.23649979,21.02000046,21.87919998,3.724299908,17.88680077
19.0036,0.801902,0.673515,1.63396,4.13795,8.55214,24.2455006,31.6038996,21.5832993,6.74536,0.0225564,16.05319977,31.19750023,20.32329941,21.24500084,22.15769958,23.17079926,24.05820084,25.36650085,27.06469917,4.575960159,21.75419998
25.9984,0.119564,0.382568,1.97054,1.9063599,8.3020203,19.6597993,40.4206991,20.2307001,6.9860399,0.0217164,17.92980003,31.92259979,21.43829918,22.52930069,23.21249962,23.89920044,24.87709999,25.92140007,27.88209915,4.181610107,22.81649971
20.5258,0.333858,1.04977,5.29592,10.7363001,16.3785994,24.3679002,18.2291999,14.2570004,9.3287297,0.0226872,12.99790001,31.64949989,17.1352005,18.93040085,20.49259949,22.1189003,23.7336998,25.3927002,27.92079926,5.71750021,20.38019943
14.4288,4.6979301,17.8929001,14.3726006,12.6809999,13.8662994,16.1881998,9.6464999,7.6914199,2.92976,0.0333885,4.95318985,28.26729965,10.07929993,11.81089973,13.52509975,15.21949959,17.75300026,20.34399986,22.50469971,6.321479797,13.7947998
8.4474,6.4623497,11.0128,17.0374006,15.9327,12.8694996,17.5049007,11.4609003,5.38815,2.3020299,0.0292419,4.205639839,19.18580055,6.701179981,7.855110168,9.168700218,10.49429989,11.94449997,13.16839981,14.70409966,4.011909962,9.388950348
5.2908,4.65656,6.9394797,20.2380002,26.2558997,19.5979998,11.4906996,4.86991,4.1673601,1.7252799,0.0588858,4.222720146,15.48209953,5.864409924,6.516389847,7.122320175,7.73526001,8.469739914,9.408579826,11.08409977,2.699170113,7.364659786
5.6392,6.2911697,13.5001004,21.2891996,26.0670006,19.7163001,10.6576003,1.89925,0.0721114,0.470313,0.0369409,3.777889967,17.34770012,5.771590233,6.575429916,7.27421999,7.919139862,8.748940468,9.576379776,10.43910027,2.625329971,7.240449905
8.4103,2.55269,4.0989898,8.1534602,14.2481998,26.4120996,27.9729992,13.4680003,2.41211,0.651811,0.0295709,6.647890091,19.65929985,9.612119675,10.46510029,11.12090015,11.79640007,12.47430038,13.22539997,14.31340027,2.99090004,10.80379963
11.4447,2.4430299,3.80328,4.8831001,7.6098002,15.1171997,21.0458994,23.0087996,15.5148,6.5506302,0.0234581,8.38008976,22.45000076,12.43879986,13.79419994,14.99750042,15.98460007,17.1310997,18.12269974,19.23250008,4.274409771,14.32530022
9.8523,3.4428101,5.2565701,8.2686,13.7963995,18.4981003,22.6669997,17.7304998,8.0462404,2.26733,0.0264066,5.349040031,18.03619957,8.719960213,9.762419701,10.70370007,11.46570015,12.28960037,13.18719959,14.38599968,3.393219948,10.29080009
6.385,2.04453,4.1218001,14.1071007,28.7164003,22.6159006,11.8513003,8.5358799,5.7829998,2.2027601,0.0213695,6.654990196,21.15439987,8.848950386,9.557510376,10.22089958,11.13199997,12.12049961,13.59500027,16.41559982,3.633059978,10.76970005
6.3257,6.0603902,14.6913007,16.5748,16.0638005,14.0933007,12.1399,6.7552,9.5445998,4.0493,0.0274155,3.491450071,15.37819958,5.32694006,6.365200043,7.250480175,8.304459572,9.406459808,10.95339966,12.98919964,3.413929939,7.682779789
9.507,6.0603902,14.6913007,16.5748,16.0638005,14.0933007,12.1399,6.7552,9.5445998,4.0493,0.0274155,3.491450071,15.37819958,5.32694006,6.365200043,7.250480175,8.304459572,9.406459808,10.95339966,12.98919964,3.413929939,7.682779789
8.3897,3.9102301,6.2410101,7.9596698,13.5510996,18.1474999,24.4060993,18.6274007,7.4375801,0,0.0234557,6.247719765,20.52549934,9.757590294,10.84389973,11.73910046,12.42840004,13.3409996,14.35350037,15.83740044,3.625799894,11.32089996
